groupId,artifactId
com.dianping.puma,puma-alarm
com.yomahub,tlog-gateway
org.dkpro.core,dkpro-core-treetagger-asl
com.github.ata4,ioutils
com.oracle.oci.sdk,oci-java-sdk-addons-apache
org.apache.deltaspike.modules,deltaspike-partial-bean-module-api
org.apache.nifi,nifi-kite-processors
com.codingapi.txlcn,txlcn-tc
org.wso2.carbon.automation,org.wso2.carbon.automation.api
io.micronaut,micronaut-inject
net.kyori,adventure-platform-bukkit
io.quarkus,quarkus-panacheql
org.wildfly.core,wildfly-subsystem-test-framework
org.eclipse.rap,org.eclipse.rap.rwt
ro.pippo,pippo-controller
com.microsoft.azure,azure-keyvault-cryptography
org.openimaj,image-local-features
io.vlingo.xoom,xoom-auth
com.sun.faces.test.javaee6web,flowDefiningDocumentIdJar2
com.sun.faces.test.javaee6web,flowDefiningDocumentIdJar1
org.openhab.addons.bundles,org.openhab.binding.rfxcom
org.xwiki.platform,xwiki-platform-store-merge-default
eu.europa.ec.joinup.sd-dss,dss-asic-xades
org.geekbang.projects,sm-core
com.google.code.cli-parser,cli
org.pepsoft.worldpainter,WPCore
org.apache.pinot,pinot-common
org.springframework.cloud,spring-cloud-dataflow-core-dsl
com.thinkbiganalytics.kylo.integrations,kylo-spark-validate-cleanse-spark-v1
com.flowpowered,flow-networking
org.wso2.carbon.identity.local.auth.requestpath.basic,org.wso2.carbon.identity.application.authenticator.requestpath.basicauth.server.feature
org.apache.maven,maven-project-builder
org.crashub,crash.packaging
org.apache.camel.quarkus,camel-quarkus-weka
org.restcomm,restcomm-connect.tts.voicerss
com.mycila.com.google.inject,guice
com.thinkbiganalytics.kylo.integrations,kylo-spark-validate-cleanse-spark-v2
surefire-979,module1
org.camunda.spin,camunda-spin-dataformat-json-jackson
asm,asm-debug-all
com.kunstmusik,blue-plugin
club.mydlq,service-feign-interface
io.spring.example,couchbase-consumer
org.apache.apex,apex-shaded-ning19
com.github.DieReicheErethons,Brewery
com.github.braisdom,mangosdk-spi
syncer,syncer-common
org.jboss.osgi.metadata,jbosgi-metadata
org.apache.flink,flink-shaded-guava
io.quarkus,quarkus-qute
com.megaease.easeagent,log4j2-mock
org.jboss.arquillian.container,arquillian-jetty-embedded-9
ddf.catalog.core,versioning-api
github.sepinf,png-reader
io.bdrc,mcouch-ektorp
org.prefuse,prefuse
io.quarkus,quarkus-test-oidc-server
org.apache.tomee,openejb-provisionning
fish.payara.server.internal.web,jstl-connector
io.spring.javaformat,spring-javaformat-formatter-test-support
org.wicketTutorial,TestAjaxEventsExample
org.forgerock.openam,openam-ldap-utils
org.apache.camel.quarkus,camel-quarkus-azure-storage-datalake
org.questdb,questdb
com.google.code.simple-spring-memcached,spymemcached
com.codingapi.txlcn,txlcn-tm
org.quartz-scheduler.wso2,quartz
org.apache.camel.springboot,camel-dynamic-router-starter
org.dashbuilder,dashbuilder-cms-client
org.apache.nifi,nifi-hbase_2-client-service
org.neo4j.springframework.data,spring-data-neo4j-rx-spring-boot-starter
io.quarkus,quarkus-oidc-common
com.google.cloud,spring-cloud-gcp-starter-cloudfoundry
com.skyeye,skyeye-service-impl
org.apache.servicemix.bundles,org.apache.servicemix.bundles.aws-java-sdk
org.testcontainers,junit-jupiter
cn.springcloud.gray,spring-cloud-gray-plugin-eureka
org.apache.camel.quarkus,camel-quarkus-servicenow
io.ebean,ebean-redis
com.alibaba.jvm.sandbox,sandbox-api
org.graphfoundation.ongdb,ongdb-geequel-interpreted-runtime
fish.payara.server.internal.cluster,cluster-cli
net.spy,spymemcached
org.apache.omid,omid-hbase-client-hbase2.x
org.glassfish,javax.annotation
com.dracoon,dracoon-crypto-sdk
com.badlogicgames.gdx,gdx
io.gravitee.node,gravitee-node-kubernetes
org.talend.esb.auxiliary.storage,auxiliary-storage-features
org.apache.mnemonic,mnemonic-spark-core
org.apache.rya,rya.api.evaluation
dk.dma.ais.lib,ais-lib-messages
io.scigraph,scigraph-analysis
org.odpi.egeria,rex-view-spring
com.gluonhq.attachextended,log
org.apache.edgent,edgent-connectors-http
com.github.javafaker,javafaker
org.kordamp.ikonli,ikonli-materialdesign-pack
org.apache.samza,samza-kv-rocksdb_2.11
org.eclipse.jgit,org.eclipse.jgit.lfs
tk.mybatis,mapper-core
com.facebook.presto,presto-server
org.apache.servicecomb.toolkit,oas-validator-compatibility
org.apache.edgent.java7,edgent-connectors-iot
com.vmware.mangle,mangle-byteman-submit
com.navercorp.pinpoint,pinpoint-commons-hbase
org.slf4j,slf4j-jcl
com.googlecode.wicket-jquery-ui,wicket-kendo-ui-theme-bootstrap
com.gwtplatform,gwtp-mvp-shared
org.jitsi,jitsi-desktoputil
io.stargate.metrics,metrics-jersey
org.apache.camel.quarkus,camel-quarkus-aws2-msk
org.apache.nifi,nifi-druid-processors
org.apache.isis.core,isis-core-runtime
org.jeasy,easy-rules-support
org.apache.calcite,calcite-babel
org.apache.hbase,hbase-common
org.eclipse.leshan,leshan-server-cf
org.activiti,activiti-api-task-model
de.tudarmstadt.ukp.dkpro.core,de.tudarmstadt.ukp.dkpro.core.decompounding-model-splitter-de-grfExt
org.testfx,testfx-junit5
com.googlecode.sardine,sardine
net.sourceforge.htmlcleaner,htmlcleaner
org.apache.knox,gateway-discovery-cm
org.scalamock,scalamock_2.12
org.gradle,gradle-native
com.tduck,tduck-storage
io.quarkus,quarkus-resteasy-jackson
org.wildfly.swarm,webservices-modules
com.foundationdb,fdb-sql-parser
org.apache.archiva.components,archiva-components-spring-quartz
io.quarkus,quarkus-oidc-token-propagation
com.microsoft.rest,client-runtime
org.odpi.egeria,asset-consumer-api
org.wso2.carbon.identity.governance,org.wso2.carbon.identity.api.user.recovery
io.gravitee.node,gravitee-node-api
org.coffeeking,org.coffeeking.connectedcup.plugin
ddf.catalog.transformer,catalog-transformer-propertyjson-metacard
io.seata,seata-codec-all
net.sf.proguard,proguard-gradle
com.slack.api,bolt-google-cloud-functions
com.kunstmusik,blue-utilities
io.apiman,apiman-common-logging-slf4j
org.neo4j,neo4j-parser
io.qameta.allure,allure-testng
org.apache.servicemix.examples,camel-cxf-soap-route
org.glassfish.hk2.external,javax.inject
org.tuxdevelop,spring-batch-lightmin-core-configuration
org.jitsi,jitsi-protocol-sip
org.owasp.test.aggregate,fourth
org.eclipse.jkube,jkube-kit-config-image
org.gradle,gradle-plugins
org.sonatype.nexus.plugins,nexus-audit-plugin
io.enmasse,discovery-lib
org.apache.shenyu,shenyu-spring-boot-starter-plugin-sofa
com.denimgroup.threadfix,threadfix-offline
com.amazonaws,aws-java-sdk-kms
org.apache.nifi,nifi-rules-action-handler-service
openlatexstudio,Editor
org.wikidata.wdtk,wdtk-client
com.hotels,waggle-dance-rest
org.springframework.cloud.fn,geode-common
io.atlasmap,atlas-java-model
org.wso2.carbon.identity.conditional.auth.functions,org.wso2.carbon.identity.conditional.auth.functions.cookie
com.mapr.db,maprdb
org.keycloak,keycloak-admin-client
com.oracle.oci.sdk,oci-java-sdk-certificatesmanagement
com.facebook.airlift,json
org.apache.camel,camel-jsonpath
org.eclipse.jetty,jetty-reactive-httpclient
com.jd.survey,jdsurvey-intcont
org.lealone,lealone-db
com.linkedpipes,rdf-utils-rdf4j
com.google.code.maven-scm-provider-svnjava,maven-scm-provider-svnjava
org.apache.shenyu,shenyu-spi
de.tudarmstadt.ukp.dkpro.core,de.tudarmstadt.ukp.dkpro.core.mecab-model-tagger-jp-ipadic
org.sonatype.ossindex,ossindex-service-client
fish.payara.server.internal.extras,payara-micro-core
com.google.cloud,spring-cloud-gcp-starter
org.eobjects.metamodel,MetaModel-neo4j
io.quarkus,quarkus-resteasy-mutiny-deployment
systems.manifold,manifold-ext-middle-test
org.bytedeco,ffmpeg-platform
org.wso2.carbon.identity.local.auth.fido,org.wso2.carbon.identity.api.user.fido2
com.taobao.arthas,arthas-tunnel-client
org.apache.james,james-server-protocols-library
com.thinkbiganalytics.kylo,kylo-security-auth-kylo-local
org.apache.carbondata,carbondata-format
org.apache.james,james-server-memory-app
fr.opensagres.xdocreport,org.apache.poi.xwpf.converter.xhtml
org.neo4j,neo4j-logging
org.apache.camel.quarkus,camel-quarkus-jsonpath
org.apache.edgent.android,edgent-analytics-sensors
org.jboss.resteasy,resteasy-netty
org.cleartk,cleartk-ml-opennlp-maxent
cn.springcloud.gray,spring-cloud-gray-server-cluster-http-synchro-plugin
oracle.javacard,api_classic
org.wildfly.swarm,jgroups-runtime
it.ozimov,spring-boot-freemarker-email
org.apache.camel,camel-rmi
org.gephi,layout-api
com.evolveum.midpoint.repo,security-api
com.github.stefvanschie.inventoryframework,1_15
org.eclipse.vorto,mapping-target-awsiot
de.dfki.mary,voice-enst-camille-hsmm
org.forgerock.ce.commons,json-resource-servlet
org.glassfish.jersey.ext,jersey-declarative-linking
com.github.stefvanschie.inventoryframework,1_14
com.bladejava,blade-asm
org.thingsboard.common,dao-api
org.apache.camel.quarkus,camel-quarkus-infinispan-deployment
com.azure.resourcemanager,azure-resourcemanager-storage
org.glassfish.main.ejb,ejb-internal-api
org.apereo.cas,cas-server-core-cookie
foundation.stack.datamill,core
io.airlift.drift,drift-transport-apache
org.eclipse.jetty.orbit,javax.activation
exclusions,included
org.dcm4che.dcm4chee-arc,dcm4chee-arc-qido
com.walmartlabs.concord.plugins.basic,lock-tasks
org.apache.camel,camel-webhook
com.alibaba.rsocket,alibaba-rsocket-spring-boot-starter
fr.pilato.elasticsearch.crawler,fscrawler-tika
org.jboss.resteasy,resteasy-json-p-provider
org.metawidget.modules.faces,metawidget-richfaces
com.fasterxml.jackson.dataformat,jackson-dataformat-ion
it.unibz.inf.ontop,ontop-cli
org.apache.shenyu,shenyu-register-instance-api
org.testingisdocumenting.webtau,webtau-junit5-groovy
me.snowdrop,istio-common
org.neo4j,neo4j-random-values
co.elastic.apm,apm-redis-common
org.openrdf.sesame,sesame-query
org.openhab.addons.bundles,org.openhab.binding.bluetooth.ruuvitag
de.tudarmstadt.ukp.dkpro.core,de.tudarmstadt.ukp.dkpro.core.nlp4j-model-parser-en-default
com.github.mpusher,mpush-netty
org.apache.ignite,ignite-spring-data
com.carrotsearch.thirdparty,simple-xml-safe
org.jenkins-ci.plugins,matrix-auth
org.apache.servicecomb,swagger-generator-core
org.webjars.npm,lodash
com.microsoft.azure,azure-toolkit-ide-appservice-lib
com.bstek.bdf3,bdf3-swfviewer
org.vaadin.alump,ckeditor
net.sf.jpam,jpam
org.openehealth.ipf.commons,ipf-commons-ihe-fhir-r4-audit
com.xkcoding,nacos-naming
org.jboss.forge.addon,facets-api
com.webank.wedatasphere.linkis,linkis-protocol
org.apache.santuario,xmlsec
org.wildfly.galleon-plugins,transformer
org.apache.nifi,nifi-syslog-utils
com.alibaba.database,innodb-heatmap
org.apache.lucene,lucene-analyzers-stempel
com.walmartlabs.concord.server.plugins.ansible,concord-ansible-plugin-client
com.github.xiaoymin,knife4j-spring-boot-starter
org.apache.xmlgraphics,fop-core
io.gravitee.apim.rest.api.standalone,gravitee-apim-rest-api-standalone-container
org.apache.asterix,asterix-lang-sqlpp
io.sarl,io.sarl.eclipse
org.eclipse.paho,org.eclipse.paho.mqttv5.client
io.fabric8,spring-cloud-kubernetes-zipkin
org.gephi,preview-api
com.rabbitmq,http-client
org.apache.tomee,openejb-itests-beans
org.apache.hudi,hudi-flink-client
com.codenvy.onpremises.wsmaster,codenvy-hosted-api-node
org.apache.archiva,archiva-xml-tools
com.google.cloud,google-cloud-monitoring
org.xwiki.platform,xwiki-platform-filter-script
info.bliki.wiki,bliki-core
com.github.stephenc.monte,monte-screen-recorder
com.navercorp.pinpoint,pinpoint-resttemplate-plugin
org.geotools,gt-jts-wrapper
com.alibaba.datax,datax-core
org.apache.helix,metrics-common
org.infinitest.intellij,intellij-annotations
com.nativelibs4java,anarres-jnaerator
com.massivecraft,MassiveCore
