dependency,count
org.projectlombok:lombok,338
org.eclipse.jetty:jetty-server,197
org.xwiki.platform:xwiki-platform-index-test-pageobjects,1
org.xwiki.platform:xwiki-platform-office-test-pageobjects,1
org.springframework.boot:spring-boot-starter-data-cassandra,3
org.slf4j:jcl-over-slf4j,220
org.joyqueue:joyqueue-broker-protocol,1
org.harctoolbox:HarcHardware,1
org.apache.camel.quarkus:camel-quarkus-azure-cosmosdb,1
org.apache.camel.quarkus:camel-quarkus-jsch,1
org.apache.camel.quarkus:camel-quarkus-lzf,1
org.apache.camel.quarkus:camel-quarkus-support-spring-beans,1
nl.jqno.equalsverifier:equalsverifier,32
com.squareup:fest-android,6
org.eclipse.jetty:jetty-alpn-java-server,5
org.apache.servicecomb.toolkit:oas-validator-compatibility-spring,1
com.sikulix:sikulix2tigervnc,1
org.apache.camel:camel-amqp,2
org.apache.camel:camel-base-engine,1
org.apache.camel:camel-catalog,2
org.apache.rya:accumulo.rya,1
org.springframework.cloud:spring-cloud-starter-netflix-zuul,9
org.infinispan.protostream:sample-domain-implementation,1
com.alipay.sofa:rpc-grpc-impl,2
args4j:args4j,42
org.apache.hadoop:hadoop-yarn-registry,6
org.jsweet.candies:node,1
com.aliyun:aliyun-java-sdk-core,24
org.tukaani:xz,32
io.github.logtube:logtube,1
net.dongliu:gson-java8-datatype,1
org.jinq:api,1
org.apache.mina:mina-integration-beans,1
com.typesafe.play:play-guice_2.12,1
io.vertx:vertx-core,49
org.apache.skywalking:apm-toolkit-logging-common,1
org.keycloak:keycloak-jetty94-adapter,3
com.typesafe.scala-logging:scala-logging-slf4j_2.11,1
org.apache.isis.incubator.viewer:isis-viewer-vaadin-model,1
org.apache.isis.subdomains:isis-subdomains-excel-testing,1
org.apache.servicemix.bundles:org.apache.servicemix.bundles.xmlresolver,1
org.apache.geronimo.javamail:geronimo-javamail_1.4_mail,3
org.glassfish.grizzly:grizzly-http-servlet-server,6
it.uniroma1.dis.wsngroup.gexf4j:gexf4j,1
org.apache.sanselan:sanselan,3
org.eclipse.kapua:kapua-security-registration-simple,1
com.aliyun.openservices:ons-client,7
com.hazelcast.jet:hazelcast-jet-kinesis,2
org.wicketTutorial:OnComponentTagExample,1
org.awaitility:awaitility-groovy,1
com.networknt:eventuate-account-query,1
com.googlecode.jmockit:jmockit-coverage,1
org.keycloak:keycloak-adapter-core,4
org.apache.directory.api:api-ldap-model,3
org.jopendocument:jOpenDocument,1
com.sk89q.worldguard:worldguard-legacy,4
dev.webfx:webfx-kit-javafxgraphics-emul,1
com.momo:momo-permission-system-core-netty,1
io.micronaut.data:micronaut-data-jdbc,1
io.gravitee.el:gravitee-expression-language,1
com.github.andrewoma.dexx:collection,2
org.odpi.egeria:governance-engine-api,1
org.odpi.egeria:graph-repository-connector,1
org.odpi.egeria:search-integrator-server,1
com.yammer.dropwizard:dropwizard-core,2
com.navercorp.pinpoint:pinpoint-flink,1
com.influxdb:influxdb-client-reactive,1
io.nats:jnats,10
io.opencensus:opencensus-exporter-stats-stackdriver,4
com.github.mpkorstanje:simmetrics-core,3
org.teiid.wildfly.connectors:connector-simpledb,1
org.webjars.bower:popper.js,1
com.epam:parso,3
org.apache.hop:hop-transform-rowsfromresult,1
org.springframework.cloud:spring-cloud-function-context,4
org.apache.lucene:lucene-snowball,4
org.apache.maven.plugins:maven-jar-plugin,3
org.openimaj:webpage-analysis,1
