dependency1,dependency2,count,count1,count2,proportion1,proportion2,maxProportion
com.h2database:h2,org.apache.maven:maven-core,15,262,136,0.06,0.11,0.11
org.apache.commons:commons-collections4,org.scala-lang:scala-library,19,154,131,0.12,0.15,0.15
commons-cli:commons-cli,commons-logging:commons-logging,80,283,287,0.28,0.28,0.28
com.alibaba:fastjson,org.testng:testng,13,253,209,0.05,0.06,0.06
com.alibaba:fastjson,org.apache.ant:ant,5,253,105,0.02,0.05,0.05
commons-collections:commons-collections,org.awaitility:awaitility,17,214,114,0.08,0.15,0.15
org.apache.zookeeper:zookeeper,org.junit.jupiter:junit-jupiter-engine,13,152,246,0.09,0.05,0.09
com.google.code.findbugs:jsr305,org.assertj:assertj-core,64,230,329,0.28,0.19,0.28
com.google.code.findbugs:jsr305,org.springframework:spring-beans,30,230,184,0.13,0.16,0.16
com.google.code.findbugs:jsr305,org.apache.logging.log4j:log4j-core,41,230,276,0.18,0.15,0.18
commons-configuration:commons-configuration,org.javassist:javassist,25,114,157,0.22,0.16,0.22
commons-configuration:commons-configuration,org.testng:testng,18,114,209,0.16,0.09,0.16
commons-httpclient:commons-httpclient,org.apache.maven:maven-plugin-api,12,105,193,0.11,0.06,0.11
com.fasterxml.jackson.core:jackson-databind,org.apache.commons:commons-math3,51,616,140,0.08,0.36,0.36
javax.servlet:javax.servlet-api,log4j:log4j,110,368,361,0.3,0.3,0.3
javax.servlet:javax.servlet-api,org.awaitility:awaitility,25,368,114,0.07,0.22,0.22
javax.validation:validation-api,org.ow2.asm:asm,12,138,132,0.09,0.09,0.09
org.apache.ant:ant,org.springframework:spring-webmvc,14,105,190,0.13,0.07,0.13
org.hamcrest:hamcrest-core,org.springframework:spring-jdbc,18,159,152,0.11,0.12,0.12
com.fasterxml.jackson.core:jackson-core,commons-collections:commons-collections,85,389,214,0.22,0.4,0.4
com.google.protobuf:protobuf-java,org.hamcrest:hamcrest-all,22,191,177,0.12,0.12,0.12
com.google.protobuf:protobuf-java,joda-time:joda-time,55,191,274,0.29,0.2,0.29
com.google.protobuf:protobuf-java,io.dropwizard.metrics:metrics-core,33,191,113,0.17,0.29,0.29
org.apache.logging.log4j:log4j-slf4j-impl,org.slf4j:jul-to-slf4j,15,180,111,0.08,0.14,0.14
org.apache.poi:poi,org.junit.jupiter:junit-jupiter-engine,10,103,246,0.1,0.04,0.1
com.googlecode.json-simple:json-simple,org.apache.logging.log4j:log4j-core,21,119,276,0.18,0.08,0.18
mysql:mysql-connector-java,org.junit.jupiter:junit-jupiter-params,12,406,114,0.03,0.11,0.11
org.apache.hadoop:hadoop-common,org.powermock:powermock-module-junit4,30,107,156,0.28,0.19,0.28
com.google.code.gson:gson,commons-httpclient:commons-httpclient,43,473,105,0.09,0.41,0.41
org.easymock:easymock,org.springframework:spring-context-support,16,136,112,0.12,0.14,0.14
org.easymock:easymock,org.slf4j:slf4j-log4j12,51,136,386,0.38,0.13,0.38
io.dropwizard.metrics:metrics-core,org.springframework:spring-beans,21,113,184,0.19,0.11,0.19
org.apache.maven:maven-plugin-api,org.openjdk.jmh:jmh-core,20,193,147,0.1,0.14,0.14
io.springfox:springfox-swagger2,org.springframework.boot:spring-boot-starter-web,23,108,108,0.21,0.21,0.21
io.springfox:springfox-swagger2,org.springframework:spring-jdbc,14,108,152,0.13,0.09,0.13
org.hamcrest:hamcrest,org.hamcrest:hamcrest-all,6,114,177,0.05,0.03,0.05
