mcrTags,count
"[cli,command-line,google,parser]",2
[gateway],1
"[apache,client,database,hbase,processor,service]",1
[runtime],1
"[apache,rocksdb]",1
[client],1
"[cloud,plugin,spring]",1
"[apache,discovery,gateway]",1
"[apache,database,google,hadoop,hbase,memcached,spring]",1
"[apache,connector,http]",1
"[apache,ejb]",1
[model],1
"[bridge,logging,slf4j]",5
"[bridge,cache,client,logging,slf4j]",1
"[binding,bundle]",1
[apache],2
"[facebook,server]",1
[github],16
"[bytecode,debug]",1
"[github,html,io,junit,parser,testing]",1
"[apache,sdk]",1
"[apache,build,build-system,builder,maven]",1
"[bridge,json,logging,slf4j]",1
"[apache,github,runtime]",1
"[dependency-injection,io]",1
"[database,hbase]",1
"[cloud,google,spring,starter]",1
"[apache,api,evaluation]",1
"[apache,api,beans,module]",2
"[rules,support]",1
"[google,memcached,spring]",3
"[apache,database,hadoop,hbase]",20
[io],2
"[mapping,persistence]",1
"[jboss,metadata,osgi]",1
"[authentication,identity,server]",1
"[framework,testing]",2
"[container,embedded,jboss,jetty,server,webserver]",2
"[eclipse,server]",3
"[apache,client,database,hadoop,hbase]",1
"[data,database,graph,neo4j,spring,starter]",1
[api],2
"[esb,storage]",1
[annotations],2
"[azure,cryptography]",1
"[build,build-system,gradle,groovy,io,native]",1
"[module,webservice]",1
"[dependency-injection,google]",1
"[bootstrap,jquery,ui,wicket]",2
"[eclipse,git]",1
"[io,kubernetes]",1
"[apache,cache,client]",1
[scheduling],1
"[cryptography,sdk]",1
[platform],6
"[io,metrics,webservice]",1
"[io,server,testing]",1
"[cache,client]",18
"[github,interface]",1
"[data,database,graph,junit,neo4j,spring,starter,testing]",1
"[github,junit,testing]",1
"[io,junit,testing]",1
"[amazon,apache,aws,azure,camel,machine-learning,storage]",1
"[api,scheduling]",2
[image],1
"[authentication,io]",1
"[apache,compatibility,toolkit,tools,validation]",1
"[cache,client,dependency-injection,io]",1
"[amazon,apache,aws,bundle,esb,sdk]",1
"[api,bpm,model]",1
"[html,parser]",9
"[apache,cache,client,database,hadoop,hbase]",2
[logging],1
"[spring,view]",1
"[apache,eclipse,github]",1
"[cloud,dsl,spring]",1
"[database,io,redis]",1
[library],1
"[cache,client,controller]",1
"[junit,testing]",29
