
,,API/API,com.sksamuel.jqm4gwt:jqm4gwt-library,com.sksamuel.jqm4gwt:jqm4gwt-standalone,com.sksamuel.jqm4gwt:jqm4gwt-remote,com.sksamuel.jqm4gwt:jqm4gwt-iscroll,com.sksamuel.jqm4gwt:jqm4gwt-grid960,com.sksamuel.jqm4gwt:jqm4gwt-datebox,com.sksamuel.jqm4gwt:jqm4gwt-datatables,com.google.gwt:gwt-servlet,com.google.gwt:gwt-user,net.kindleit:gae-runtime,com.google.appengine:appengine-api-labs,com.google.appengine:appengine-api-stubs,com.google.appengine:appengine-testing,junit: junit
,,com.sksamuel.jqm4gwt:jqm4gwt-library,x,provided,provided,compile,compile,compile,Meaningful Independence,provided,provided,Seperable Independencies (2),Meaningful Independence,Meaningful Independence,Meaningful Independence,Seperable Independencies (2)
,,com.sksamuel.jqm4gwt:jqm4gwt-standalone,provided,x,Meaningful Independence,Meaningful Independence,Meaningful Independence,Meaningful Independence,Meaningful Independence,provided,provided,Seperable Independencies (2),Meaningful Independence,Meaningful Independence,Meaningful Independence,Seperable Independencies (2)
,,com.sksamuel.jqm4gwt:jqm4gwt-remote,provided,Meaningful Independence,x,Meaningful Independence,Meaningful Independence,Meaningful Independence,Meaningful Independence,provided,provided,Seperable Independencies (2),Meaningful Independence,Meaningful Independence,Meaningful Independence,Seperable Independencies (2)
,,com.sksamuel.jqm4gwt:jqm4gwt-iscroll,compile,Meaningful Independence,Meaningful Independence,x,Meaningful Independence,Meaningful Independence,Meaningful Independence,Meaningful Independence,provided,Seperable Independencies (2),Meaningful Independence,Meaningful Independence,Meaningful Independence,Seperable Independencies (2)
,,com.sksamuel.jqm4gwt:jqm4gwt-grid960,compile,Meaningful Independence,Meaningful Independence,Meaningful Independence,x,Meaningful Independence,Meaningful Independence,Meaningful Independence,provided,Seperable Independencies (2),Meaningful Independence,Meaningful Independence,Meaningful Independence,Seperable Independencies (2)
,,com.sksamuel.jqm4gwt:jqm4gwt-datebox,compile,Meaningful Independence,Meaningful Independence,Meaningful Independence,Meaningful Independence,x,Meaningful Independence,Meaningful Independence,provided,Seperable Independencies (2),Meaningful Independence,Meaningful Independence,Meaningful Independence,Seperable Independencies (2)
,,com.sksamuel.jqm4gwt:jqm4gwt-datatables,Meaningful Independence,Meaningful Independence,Meaningful Independence,Meaningful Independence,Meaningful Independence,Meaningful Independence,x,Meaningful Independence,Meaningful Independence,Seperable Independencies (2),Meaningful Independence,Meaningful Independence,Meaningful Independence,Seperable Independencies (2)
,,com.google.gwt:gwt-servlet,provided,provided,provided,Meaningful Independence,Meaningful Independence,Meaningful Independence,Meaningful Independence,X,Meaningful Independence,Seperable Independencies (2),Seperable Independencies (1),Seperable Independencies (1),Seperable Independencies (2),Seperable Independencies (2)
,,com.google.gwt:gwt-user,provided,provided,provided,provided,provided,provided,Meaningful Independence,Meaningful Independence,X,Seperable Independencies (2),Seperable Independencies (1),Seperable Independencies (1),Seperable Independencies (2),Seperable Independencies (2)
,,net.kindleit:gae-runtime,Seperable Independencies (2),Seperable Independencies (2),Seperable Independencies (2),Seperable Independencies (2),Seperable Independencies (2),Seperable Independencies (2),Seperable Independencies (2),Seperable Independencies (2),Seperable Independencies (2),X,Seperable Independencies (1),Seperable Independencies (1),Seperable Independencies (2),Seperable Independencies (2)
,,com.google.appengine:appengine-api-labs,Meaningful Independence,Meaningful Independence,Meaningful Independence,Meaningful Independence,Meaningful Independence,Meaningful Independence,Meaningful Independence,Seperable Independencies (1),Seperable Independencies (1),Seperable Independencies (1),x,Meaningful Independence,Meaningful Independence,Seperable Independencies (1)
,,com.google.appengine:appengine-api-stubs,Meaningful Independence,Meaningful Independence,Meaningful Independence,Meaningful Independence,Meaningful Independence,Meaningful Independence,Meaningful Independence,Seperable Independencies (1),Seperable Independencies (1),Seperable Independencies (1),Meaningful Independence,x,compile,Seperable Independencies (1)
,,com.google.appengine:appengine-testing,Meaningful Independence,Meaningful Independence,Meaningful Independence,Meaningful Independence,Meaningful Independence,Meaningful Independence,Meaningful Independence,Seperable Independencies (2),Seperable Independencies (2),Seperable Independencies (2),Meaningful Independence,compile,x,compile
,,junit: junit,Seperable Independencies (2),Seperable Independencies (2),Seperable Independencies (2),Seperable Independencies (2),Seperable Independencies (2),Seperable Independencies (2),Seperable Independencies (2),Seperable Independencies (2),Seperable Independencies (2),Seperable Independencies (2),Seperable Independencies (1),Seperable Independencies (1),compile,x
,,,,,,,,,,,,,,,,
,,,Seperable Independencies (1),Not connected by the same File,,,,,,,,,,,,
,,,Seperable Independencies (2),Not Found in File,,,,,,,,,,,,
,,,Meaningful Independence,Same File,,,,,,,,,,,,
