repositoryName,dependencies
KimShen/sissi,"[com.sun.xml.bind:jaxb-impl,commons-codec:commons-codec,commons-lang:commons-lang,io.netty:netty-all,log4j:log4j,org.log4mongo:log4mongo-java,org.mongodb:mongo-java-driver,org.springframework:spring-beans,org.springframework:spring-context,org.springframework:spring-context-support,org.springframework:spring-core]"
tebexio/BuycraftX,"[cn.nukkit:nukkit,com.google.guava:guava,com.squareup.retrofit2:converter-gson,com.squareup.retrofit2:retrofit,com.velocitypowered:velocity-api,de.icongmbh.oss.maven.plugins:javassist-maven-plugin,io.netty:netty-all,junit:junit,net.md-5:bungeecord-api,org.bukkit:bukkit,org.jetbrains:annotations,org.slf4j:slf4j-jdk14,org.spongepowered:spongeapi]"
apache/marmotta,"[at.salzburgresearch.nodekeeper:nodekeeper-java,ch.qos.cal10n:cal10n-api,ch.qos.logback:logback-classic,ch.qos.logback:logback-core,com.bigdata:bigdata,com.fasterxml.jackson.core:jackson-annotations,com.fasterxml.jackson.core:jackson-core,com.fasterxml.jackson.core:jackson-databind,com.fasterxml.jackson.jaxrs:jackson-jaxrs-json-provider,com.fasterxml.jackson.jr:jackson-jr-objects,com.fasterxml.jackson.module:jackson-module-jaxb-annotations,com.fasterxml.uuid:java-uuid-generator,com.github.jsonld-java:jsonld-java-sesame,com.github.tkurz.webjars:squebi,com.google.code.tempus-fugit:tempus-fugit,com.google.guava:guava,com.google.protobuf:protobuf-java,com.googlecode.jatl:jatl,com.h2database:h2,com.hazelcast:hazelcast,com.ibm.icu:icu4j,com.jayway.jsonpath:json-path,com.jayway.restassured:rest-assured,com.thetransactioncompany:cors-filter,com.thinkaurelius.titan:titan-berkeleyje,com.thinkaurelius.titan:titan-core,com.thinkaurelius.titan:titan-hbase,com.tinkerpop.blueprints:blueprints-graph-sail,commons-beanutils:commons-beanutils,commons-cli:commons-cli,commons-codec:commons-codec,commons-collections:commons-collections,commons-configuration:commons-configuration,commons-io:commons-io,commons-logging:commons-logging,commons-net:commons-net,commons-validator:commons-validator,edu.jhuapl.tinkerpop:blueprints-accumulo-graph,eu.medsea.mimeutil:mime-util,io.grpc:grpc-all,javax.el:javax.el-api,javax.enterprise:cdi-api,javax.servlet:javax.servlet-api,javax.validation:validation-api,jaxen:jaxen,joda-time:joda-time,junit:junit,mysql:mysql-connector-java,net.sf.ehcache:ehcache,net.sf.supercsv:super-csv,org.apache.commons:commons-compress,org.apache.commons:commons-lang3,org.apache.directory.api:api-all,org.apache.geronimo.ext.tomcat:util,org.apache.httpcomponents:httpclient,org.apache.httpcomponents:httpclient-cache,org.apache.httpcomponents:httpcore,org.apache.httpcomponents:httpmime,org.apache.jena:jena-core,org.apache.marmotta.webjars:codemirror-modes,org.apache.marmotta.webjars:strftime,org.apache.marmotta:kiwi-caching-ehcache,org.apache.marmotta:kiwi-caching-hazelcast,org.apache.marmotta:kiwi-caching-infinispan,org.apache.marmotta:kiwi-loader,org.apache.marmotta:kiwi-reasoner,org.apache.marmotta:kiwi-sparql,org.apache.marmotta:kiwi-triplestore,org.apache.marmotta:kiwi-versioning,org.apache.marmotta:ldcache-api,org.apache.marmotta:ldcache-backend-file,org.apache.marmotta:ldcache-backend-infinispan,org.apache.marmotta:ldcache-backend-kiwi,org.apache.marmotta:ldcache-core,org.apache.marmotta:ldcache-sail-generic,org.apache.marmotta:ldcache-sail-kiwi,org.apache.marmotta:ldclient-api,org.apache.marmotta:ldclient-core,org.apache.marmotta:ldclient-provider-facebook,org.apache.marmotta:ldclient-provider-html,org.apache.marmotta:ldclient-provider-ldap,org.apache.marmotta:ldclient-provider-mediawiki,org.apache.marmotta:ldclient-provider-phpbb,org.apache.marmotta:ldclient-provider-rdf,org.apache.marmotta:ldclient-provider-rdfa,org.apache.marmotta:ldclient-provider-vimeo,org.apache.marmotta:ldclient-provider-xml,org.apache.marmotta:ldclient-provider-youtube,org.apache.marmotta:ldpath-api,org.apache.marmotta:ldpath-backend-linkeddata,org.apache.marmotta:ldpath-backend-sesame,org.apache.marmotta:ldpath-core,org.apache.marmotta:ldpath-functions-collections,org.apache.marmotta:ldpath-functions-date,org.apache.marmotta:ldpath-functions-html,org.apache.marmotta:ldpath-functions-json,org.apache.marmotta:ldpath-functions-math,org.apache.marmotta:ldpath-functions-text,org.apache.marmotta:ldpath-functions-xml,org.apache.marmotta:ldpath-template,org.apache.marmotta:marmotta-backend-kiwi,org.apache.marmotta:marmotta-client-js,org.apache.marmotta:marmotta-commons,org.apache.marmotta:marmotta-core,org.apache.marmotta:marmotta-ldcache-common,org.apache.marmotta:marmotta-ldcache-kiwi,org.apache.marmotta:marmotta-ldp,org.apache.marmotta:marmotta-ldpath,org.apache.marmotta:marmotta-loader-core,org.apache.marmotta:marmotta-loader-titan,org.apache.marmotta:marmotta-model-vocabs,org.apache.marmotta:marmotta-reasoner-kiwi,org.apache.marmotta:marmotta-rio-api,org.apache.marmotta:marmotta-rio-ical,org.apache.marmotta:marmotta-rio-rss,org.apache.marmotta:marmotta-rio-vcard,org.apache.marmotta:marmotta-sail-contextaware,org.apache.marmotta:marmotta-sail-transactions,org.apache.marmotta:marmotta-security,org.apache.marmotta:marmotta-sesame-matchers,org.apache.marmotta:marmotta-sparql,org.apache.marmotta:marmotta-splash,org.apache.marmotta:marmotta-user,org.apache.marmotta:marmotta-util-facading,org.apache.marmotta:marmotta-util-filter,org.apache.marmotta:marmotta-util-rdfpatch,org.apache.marmotta:marmotta-util-tripletable,org.apache.marmotta:marmotta-versioning-common,org.apache.marmotta:marmotta-versioning-kiwi,org.apache.marmotta:ostrich-client,org.apache.marmotta:ostrich-model,org.apache.maven.plugin-tools:maven-plugin-annotations,org.apache.maven.scm:maven-scm-provider-git-commons,org.apache.maven.scm:maven-scm-provider-gitexe,org.apache.maven.scm:maven-scm-provider-hg,org.apache.maven.shared:maven-dependency-tree,org.apache.maven:maven-core,org.apache.maven:maven-model,org.apache.maven:maven-plugin-api,org.apache.maven:maven-project,org.apache.tika:tika-core,org.apache.tomcat:tomcat-catalina,org.apache.tomcat:tomcat-jdbc,org.apache.tomcat:tomcat-juli,org.codehaus.izpack:izpack-standalone-compiler,org.codehaus.janino:janino,org.codehaus.plexus:plexus-utils,org.eclipse.jetty:jetty-server,org.eclipse.jetty:jetty-servlet,org.freemarker:freemarker,org.hamcrest:hamcrest-core,org.hamcrest:hamcrest-library,org.infinispan:infinispan-cdi,org.infinispan:infinispan-client-hotrod,org.infinispan:infinispan-core,org.infinispan:infinispan-server-hotrod,org.infinispan:infinispan-tree,org.javassist:javassist,org.jboss.interceptor:jboss-interceptor-core,org.jboss.interceptor:jboss-interceptor-spi,org.jboss.logging:jboss-logging,org.jboss.marshalling:jboss-marshalling,org.jboss.marshalling:jboss-marshalling-river,org.jboss.resteasy:resteasy-cdi,org.jboss.resteasy:resteasy-jackson2-provider,org.jboss.spec.javax.annotation:jboss-annotations-api_1.1_spec,org.jboss.spec.javax.annotation:jboss-annotations-api_1.2_spec,org.jboss.spec.javax.interceptor:jboss-interceptors-api_1.1_spec,org.jboss.spec.javax.interceptor:jboss-interceptors-api_1.2_spec,org.jboss.spec.javax.transaction:jboss-transaction-api_1.1_spec,org.jboss.weld.se:weld-se-core,org.jboss.weld.servlet:weld-servlet-core,org.jboss.weld:weld-api,org.jboss.weld:weld-core,org.jboss.weld:weld-spi,org.jdom:jdom2,org.json:json,org.jsoup:jsoup,org.mnode.ical4j:ical4j,org.mnode.ical4j:ical4j-vcard,org.openrdf.sesame:sesame-model,org.openrdf.sesame:sesame-query,org.openrdf.sesame:sesame-queryalgebra-evaluation,org.openrdf.sesame:sesame-queryalgebra-model,org.openrdf.sesame:sesame-queryparser-api,org.openrdf.sesame:sesame-queryparser-sparql,org.openrdf.sesame:sesame-queryresultio,org.openrdf.sesame:sesame-queryresultio-api,org.openrdf.sesame:sesame-queryresultio-sparqljson,org.openrdf.sesame:sesame-queryresultio-sparqlxml,org.openrdf.sesame:sesame-queryresultio-text,org.openrdf.sesame:sesame-repository-api,org.openrdf.sesame:sesame-repository-contextaware,org.openrdf.sesame:sesame-repository-event,org.openrdf.sesame:sesame-repository-http,org.openrdf.sesame:sesame-repository-sail,org.openrdf.sesame:sesame-repository-sparql,org.openrdf.sesame:sesame-rio-api,org.openrdf.sesame:sesame-rio-n3,org.openrdf.sesame:sesame-rio-nquads,org.openrdf.sesame:sesame-rio-ntriples,org.openrdf.sesame:sesame-rio-rdfjson,org.openrdf.sesame:sesame-rio-rdfxml,org.openrdf.sesame:sesame-rio-testsuite,org.openrdf.sesame:sesame-rio-trig,org.openrdf.sesame:sesame-rio-trix,org.openrdf.sesame:sesame-rio-turtle,org.openrdf.sesame:sesame-sail-api,org.openrdf.sesame:sesame-sail-federation,org.openrdf.sesame:sesame-sail-inferencer,org.openrdf.sesame:sesame-sail-memory,org.openrdf.sesame:sesame-sail-nativerdf,org.openrdf.sesame:sesame-sparql-testsuite,org.openrdf.sesame:sesame-store-testsuite,org.postgresql:postgresql,org.rrd4j:rrd4j,org.semarglproject:semargl-rdfa,org.semarglproject:semargl-sesame,org.slf4j:jcl-over-slf4j,org.slf4j:jul-to-slf4j,org.slf4j:log4j-over-slf4j,org.slf4j:slf4j-api,org.slf4j:slf4j-ext,org.slf4j:slf4j-simple,org.tukaani:xz,org.w3:ldp-testsuite,org.webjars:angularjs,org.webjars:codemirror,org.webjars:jquery,org.webjars:jquery-ui,org.webjars:jquery-ui-themes,org.webjars:requirejs,org.webjars:sgvizler,org.webjars:timeknots,xerces:xercesImpl,xml-apis:xml-apis]"
Sunt-ing/SUSTech-CS-Notes,"[com.fasterxml.jackson.core:jackson-databind,com.fasterxml.jackson.module:jackson-module-kotlin,commons-io:commons-io,io.github.classgraph:classgraph,io.javalin:javalin,io.swagger.core.v3:swagger-core,org.apache.httpcomponents:fluent-hc,org.apache.httpcomponents:httpclient,org.apache.tika:tika-core,org.apache.tika:tika-parsers,org.slf4j:slf4j-api,org.slf4j:slf4j-simple,org.sql2o:sql2o,org.webjars:swagger-ui,org.xerial:sqlite-jdbc]"
eclipse/microprofile-opentracing,"[io.opentracing:opentracing-api,org.eclipse.microprofile.opentracing:microprofile-opentracing-api,org.eclipse.microprofile.opentracing:microprofile-opentracing-tck,org.osgi:org.osgi.annotation.versioning]"
MDSplus/mdsplus,"[com.jcraft:jsch,junit:junit,org.mdsplus:devicebeans,org.mdsplus:javax-json,org.mdsplus:jscope,org.mdsplus:mdsobjects,org.mdsplus:mdsplus-api]"
clowee/OpenSZZ-Cloud-Native,"[com.github.docker-java:docker-java,com.github.lite2073:email-validator,com.rabbitmq:amqp-client,com.sun.mail:javax.mail,javax.persistence:javax.persistence-api,log4j:log4j,org.eclipse.jgit:org.eclipse.jgit,org.glassfish:javax.el,org.springframework.amqp:spring-amqp,org.springframework.boot:spring-boot-starter-log4j,org.springframework.data:spring-data-mongodb,org.thymeleaf:thymeleaf,org.thymeleaf:thymeleaf-spring4,org.webjars:bootstrap,org.webjars:jquery,org.webjars:jquery-ui]"
k8ssandra/management-api-for-apache-cassandra,"[ch.qos.logback:logback-classic,ch.qos.logback:logback-core,com.datastax.dse:dse-commons,com.datastax.dse:dse-db,com.datastax.oss:java-driver-core,com.datastax:datastax-mgmtapi-agent-common,com.datastax:datastax-mgmtapi-common,com.github.docker-java:docker-java,com.github.docker-java:docker-java-transport-zerodep,com.github.rvesse:airline,com.google.guava:guava,io.netty:netty-all,io.swagger.core.v3:swagger-jaxrs2,javax.servlet:javax.servlet-api,javax.ws.rs:javax.ws.rs-api,junit:junit,net.bytebuddy:byte-buddy,net.bytebuddy:byte-buddy-agent,org.apache.cassandra:cassandra-all,org.assertj:assertj-core,org.awaitility:awaitility,org.jboss.resteasy:resteasy-jackson2-provider,org.jboss.resteasy:resteasy-netty4,org.mockito:mockito-core,org.slf4j:slf4j-api]"
jenkinsci/kubernetes-ci-plugin,"[com.google.code.gson:gson,com.google.inject.extensions:guice-multibindings,com.squareup.okhttp3:logging-interceptor,com.squareup.okhttp3:mockwebserver,com.squareup.retrofit2:adapter-rxjava,com.squareup.retrofit2:converter-gson,com.squareup.retrofit2:converter-scalars,com.squareup.retrofit2:retrofit,io.fabric8:kubernetes-client,io.reactivex:rxjava,junit:junit,org.hamcrest:hamcrest-core,org.hamcrest:hamcrest-library,org.jenkins-ci.plugins:credentials,org.mockito:mockito-all,org.powermock:powermock-api-mockito,org.powermock:powermock-core,org.powermock:powermock-module-junit4,org.powermock:powermock-module-junit4-rule,org.powermock:powermock-reflect,org.yaml:snakeyaml]"
black-ant/case,"[cglib:cglib,ch.qos.logback:logback-access,ch.qos.logback:logback-classic,ch.qos.logback:logback-core,cn.hutool:hutool-all,cn.ucloud:ucloud-sdk-java-udisk,com.101tec:zkclient,com.alibaba.boot:nacos-config-spring-boot-starter,com.alibaba.boot:nacos-discovery-spring-boot-starter,com.alibaba.boot:velocity-spring-boot-starter,com.alibaba.cloud:spring-cloud-alibaba-seata,com.alibaba.cloud:spring-cloud-starter-alibaba-nacos-config,com.alibaba.cloud:spring-cloud-starter-alibaba-nacos-discovery,com.alibaba.cloud:spring-cloud-starter-dubbo,com.alibaba.csp:sentinel-annotation-aspectj,com.alibaba.csp:sentinel-core,com.alibaba.csp:sentinel-okhttp-adapter,com.alibaba.csp:sentinel-spring-cloud-gateway-adapter,com.alibaba.csp:sentinel-spring-webmvc-adapter,com.alibaba.csp:sentinel-transport-simple-http,com.alibaba.nacos:nacos-client,com.alibaba.otter:canal.client,com.alibaba.spring.boot:dubbo-spring-boot-starter,com.alibaba.spring:spring-context-support,com.alibaba:druid,com.alibaba:druid-spring-boot-starter,com.alibaba:dubbo,com.alibaba:easyexcel,com.alibaba:fastjson,com.alipay.sofa:rpc-sofa-boot-starter,com.alipay.sofa:runtime-sofa-boot-starter,com.aliyun:aliyun-java-sdk-core,com.aliyun:taobao-sdk-java,com.appleyk.spring.boot:license-core-spring-boot-starter,com.appleyk.spring.boot:license-verify-spring-boot-starter,com.baidu:brpc-java-naming-zookeeper,com.baomidou:mybatis-plus,com.baomidou:mybatis-plus-boot-starter,com.baomidou:mybatis-plus-generator,com.belerweb:pinyin4j,com.beust:jcommander,com.eatthepath:java-otp,com.esotericsoftware:kryo,com.fasterxml.jackson.core:jackson-annotations,com.fasterxml.jackson.core:jackson-core,com.fasterxml.jackson.core:jackson-databind,com.fasterxml.jackson.dataformat:jackson-dataformat-properties,com.fasterxml.jackson.dataformat:jackson-dataformat-yaml,com.gang.cloud.dubbo:com-gang-cloud-dubbo-interface,com.gang.cloud.dubbo:dubbo-demo-interface,com.gang.cloud.template:com-gang-cloud-template-common,com.gang.cloud.template:com-gang-cloud-template-common-lib,com.gang.exp.engine:com-gang-exp-engine-rest,com.gang.netty:com-gang-netty-common,com.gang.study.maven:com-gang-study-maven-childa,com.gang.study.maven:com-gang-study-maven-childb,com.gang.study.module:gang-study-module,com.gang.study.sofa.bean:com-gang-study-bean,com.gang.study.sofaboot:com-gang-study-facade-server,com.gang.study.sofaboot:com-gang-study-provide-server,com.gang.study.source:con-gang-study-source-one,com.gang.study:provider-api,com.gang.study:provider-impl,com.gang:base,com.gang:com-gang-common-cache,com.gang:com-gang-common-elastic,com.gang:com-gang-common-lib,com.gang:com-gang-common-log,com.gang:com-gang-common-msg-api,com.gang:com-gang-common-msg-sms,com.gang:com-gang-engine-sdk,com.gang:com-gang-study-common-lib,com.gang:tcc-transaction-redis-capital-api,com.gang:tcc-transaction-redis-redpacket-api,com.gang:tcc-transaction-sample-common,com.github.pagehelper:pagehelper,com.github.pagehelper:pagehelper-spring-boot-starter,com.github.tomakehurst:wiremock,com.google.guava:guava,com.google.zxing:javase,com.h2database:h2,com.ibeetl:beetl,com.ibm.mq:com.ibm.mq.allclient,com.lmax:disruptor,com.microsoft.azure:adal4j,com.microsoft.graph:microsoft-graph,com.nimbusds:oauth2-oidc-sdk,com.oracle:ojdbc6,com.profesorfalken:jPowerShell,com.spring4all:swagger-spring-boot-starter,com.squareup.okhttp3:okhttp,com.stduy.gang:demo-one,com.sun.faces:jsf-api,com.sun.faces:jsf-impl,com.sun.mail:mailapi,com.sun:ldapbp,com.tencent.tars:tars-spring-boot-starter,com.weibo:motan-core,com.weibo:motan-registry-zookeeper,com.weibo:motan-springsupport,com.weibo:motan-transport-netty,com.xuxueli:xxl-job-core,com.yiqiniu.easytrans:easytrans-starter,commons-codec:commons-codec,commons-collections:commons-collections,commons-fileupload:commons-fileupload,commons-io:commons-io,commons-logging:commons-logging,de.codecentric:spring-boot-admin-starter-client,de.codecentric:spring-boot-admin-starter-server,de.roskenet:springboot-javafx-support,de.roskenet:springboot-javafx-test,de.schlichtherle.truelicense:truelicense-core,dm.jdbc:DmJdbcDriver18,io.github.lognet:grpc-spring-boot-starter,io.github.openfeign:feign-okhttp,io.github.resilience4j:resilience4j-all,io.github.resilience4j:resilience4j-annotations,io.github.resilience4j:resilience4j-bulkhead,io.github.resilience4j:resilience4j-cache,io.github.resilience4j:resilience4j-circuitbreaker,io.github.resilience4j:resilience4j-micrometer,io.github.resilience4j:resilience4j-ratelimiter,io.github.resilience4j:resilience4j-retry,io.github.resilience4j:resilience4j-spring-boot2,io.github.resilience4j:resilience4j-timelimiter,io.jsonwebtoken:jjwt,io.jsonwebtoken:jjwt-api,io.jsonwebtoken:jjwt-impl,io.jsonwebtoken:jjwt-jackson,io.micrometer:micrometer-core,io.micrometer:micrometer-registry-prometheus,io.netty:netty-all,io.prong.tcc:tcc-core,io.seata:seata-all,io.seata:seata-codec-all,io.seata:seata-rm-datasource,io.seata:seata-spring-boot-starter,io.seata:seata-tm,io.springfox:springfox-bean-validators,io.springfox:springfox-swagger-ui,io.springfox:springfox-swagger2,io.swagger.core.v3:swagger-annotations,io.swagger.core.v3:swagger-jaxrs2,io.swagger.core.v3:swagger-jaxrs2-servlet-initializer,io.swagger:swagger-annotations,io.swagger:swagger-models,io.vavr:vavr-jackson,jakarta.ws.rs:jakarta.ws.rs-api,javax.mail:mail,javax.servlet:javax.servlet-api,javax.servlet:jstl,javax.ws.rs:javax.ws.rs-api,javax.xml.bind:jaxb-api,junit:junit,log4j:log4j,mysql:mysql-connector-java,net.logstash.logback:logstash-logback-encoder,net.sourceforge.jexcelapi:jxl,net.sourceforge.nekohtml:nekohtml,net.spy:spymemcached,net.tirasa.connid.bundles:net.tirasa.connid.bundles.ad,net.tirasa.connid.bundles:net.tirasa.connid.bundles.ldap,net.tirasa.connid:connector-framework,net.tirasa.connid:connector-framework-internal,net.tirasa.connid:connector-test-common,net.tirasa:adsddl,org.activiti:activiti-image-generator,org.activiti:activiti-spring-boot-starter,org.activiti:activiti-spring-boot-starter-actuator,org.activiti:activiti-spring-boot-starter-basic,org.activiti:activiti-spring-boot-starter-jpa,org.activiti:activiti-spring-boot-starter-rest-api,org.ansj:ansj_seg,org.apache.commons:commons-collections4,org.apache.commons:commons-dbcp2,org.apache.commons:commons-jexl3,org.apache.commons:commons-lang3,org.apache.commons:commons-text,org.apache.curator:curator-client,org.apache.curator:curator-framework,org.apache.curator:curator-recipes,org.apache.cxf:cxf-rt-rs-extension-search,org.apache.dubbo:dubbo,org.apache.dubbo:dubbo-config-spring,org.apache.dubbo:dubbo-registry-nacos,org.apache.dubbo:dubbo-registry-zookeeper,org.apache.dubbo:dubbo-rpc-rest,org.apache.dubbo:dubbo-spring-boot-starter,org.apache.httpcomponents:httpclient,org.apache.logging.log4j:log4j-api,org.apache.logging.log4j:log4j-core,org.apache.logging.log4j:log4j-jul,org.apache.logging.log4j:log4j-slf4j-impl,org.apache.oltu.oauth2:org.apache.oltu.oauth2.authzserver,org.apache.oltu.oauth2:org.apache.oltu.oauth2.client,org.apache.oltu.oauth2:org.apache.oltu.oauth2.resourceserver,org.apache.poi:poi,org.apache.rocketmq:rocketmq-client,org.apache.rocketmq:rocketmq-spring-boot-starter,org.apache.servicecomb.pack:omega-spring-starter,org.apache.servicecomb.pack:omega-transport-resttemplate,org.apache.shardingsphere:sharding-jdbc-spring-boot-starter,org.apache.shardingsphere:sharding-jdbc-spring-namespace,org.apache.shardingsphere:sharding-transaction-base-seata-at,org.apache.shardingsphere:shardingsphere-jdbc-core,org.apache.shardingsphere:shardingsphere-jdbc-core-spring-boot-starter,org.apache.shardingsphere:shardingsphere-transaction-base-seata-at,org.apache.shardingsphere:shardingsphere-transaction-xa,org.apache.shiro:shiro-spring,org.apache.shiro:shiro-web,org.apache.spark:spark-core_2.12,org.apache.spark:spark-launcher_2.12,org.apache.spark:spark-mllib_2.12,org.apache.spark:spark-streaming_2.12,org.apache.velocity:velocity-engine-core,org.apache.velocity:velocity-tools,org.apache.zookeeper:zookeeper,org.codehaus.jackson:jackson-mapper-asl,org.directwebremoting:dwr,org.dromara:hmily-annotation,org.dromara:hmily-brpc,org.dromara:hmily-core,org.dromara:hmily-demo-common,org.dromara:hmily-demo-grpc-common,org.dromara:hmily-dubbo,org.dromara:hmily-grpc,org.dromara:hmily-spring-boot-starter-brpc,org.dromara:hmily-spring-boot-starter-dubbo,org.dromara:hmily-spring-boot-starter-grpc,org.dromara:hmily-spring-boot-starter-sofa-rpc,org.dromara:hmily-spring-boot-starter-springcloud,org.dromara:hmily-spring-boot-starter-tars,org.dromara:hmily-springcloud,org.dromara:hmily-tac-p6spy,org.easymock:easymock,org.eclipse.jgit:org.eclipse.jgit,org.flowable:flowable-engine,org.flowable:flowable-spring-boot-starter,org.flowable:flowable-spring-boot-starter-rest,org.flowable:flowable-ui-admin-conf,org.flowable:flowable-ui-idm-conf,org.flowable:flowable-ui-modeler-conf,org.flowable:flowable-ui-task-conf,org.glassfish.jersey.media:jersey-media-multipart,org.glassfish.main.external:ldapbp-repackaged,org.hibernate:hibernate-core,org.hibernate:hibernate-entitymanager,org.javassist:javassist,org.jboss.resteasy:resteasy-servlet-initializer,org.jboss.resteasy:resteasy-spring-boot-starter,org.jboss.resteasy:resteasy-validator-provider,org.json:json,org.junit.jupiter:junit-jupiter-engine,org.ldaptive:ldaptive,org.ldaptive:ldaptive-json,org.lionsoul:ip2region,org.mapstruct:mapstruct,org.mengyun:tcc-transaction-api,org.mengyun:tcc-transaction-common-dependency,org.mengyun:tcc-transaction-dubbo,org.mengyun:tcc-transaction-dubbo-capital-api,org.mengyun:tcc-transaction-dubbo-common,org.mengyun:tcc-transaction-dubbo-redpacket-api,org.mengyun:tcc-transaction-sample-captial,org.mengyun:tcc-transaction-sample-order,org.mengyun:tcc-transaction-sample-redpacket,org.mengyun:tcc-transaction-spring,org.mybatis.generator:mybatis-generator-core,org.mybatis.spring.boot:mybatis-spring-boot-starter,org.openjdk.jol:jol-core,org.pac4j:pac4j-cas,org.pac4j:pac4j-core,org.pac4j:pac4j-ldap,org.pac4j:pac4j-oauth,org.pac4j:pac4j-oidc,org.pac4j:pac4j-saml,org.primefaces:primefaces,org.projectlombok:lombok,org.scala-lang:scala-library,org.seleniumhq.selenium:selenium-java,org.slf4j:slf4j-api,org.slf4j:slf4j-log4j12,org.sonatype.sisu:sisu-guava,org.specs:specs,org.springframework.amqp:spring-amqp,org.springframework.amqp:spring-rabbit,org.springframework.boot:spring-boot-autoconfigure,org.springframework.boot:spring-boot-devtools,org.springframework.boot:spring-boot-maven-plugin,org.springframework.boot:spring-boot-starter,org.springframework.boot:spring-boot-starter-actuator,org.springframework.boot:spring-boot-starter-data-elasticsearch,org.springframework.boot:spring-boot-starter-data-jpa,org.springframework.boot:spring-boot-starter-data-ldap,org.springframework.boot:spring-boot-starter-log4j2,org.springframework.boot:spring-boot-starter-test,org.springframework.boot:spring-boot-starter-thymeleaf,org.springframework.boot:spring-boot-starter-web,org.springframework.boot:spring-boot-starter-webflux,org.springframework.cloud:spring-cloud-alibaba-nacos-discovery,org.springframework.cloud:spring-cloud-config-server,org.springframework.cloud:spring-cloud-starter-alibaba-sentinel,org.springframework.cloud:spring-cloud-starter-bootstrap,org.springframework.cloud:spring-cloud-starter-circuitbreaker-resilience4j,org.springframework.cloud:spring-cloud-starter-config,org.springframework.cloud:spring-cloud-starter-feign,org.springframework.cloud:spring-cloud-starter-gateway,org.springframework.cloud:spring-cloud-starter-hystrix,org.springframework.cloud:spring-cloud-starter-netflix-eureka-client,org.springframework.cloud:spring-cloud-starter-netflix-eureka-server,org.springframework.cloud:spring-cloud-starter-netflix-hystrix,org.springframework.cloud:spring-cloud-starter-netflix-ribbon,org.springframework.cloud:spring-cloud-starter-openfeign,org.springframework.cloud:spring-cloud-starter-ribbon,org.springframework.cloud:spring-cloud-starter-zookeeper-discovery,org.springframework.cloud:spring-cloud-stream-test-support,org.springframework.data:spring-data-mongodb,org.springframework.security.extensions:spring-security-saml2-core,org.springframework.security.oauth.boot:spring-security-oauth2-autoconfigure,org.springframework.security.oauth:spring-security-oauth2,org.springframework.webflow:spring-faces,org.springframework.webflow:spring-webflow,org.springframework:spring-context,org.springframework:spring-orm,org.springframework:spring-webmvc,org.subethamail:subethasmtp-wiser,org.webjars:swagger-ui,para.cic.sync:para-cic-sync-core-common-sync-api,para.cic.sync:para.cic.sync.core,para.sdk:para-sdk-common-msg-api,para.sdk:para-sdk-ext-msg-email,tech.tablesaw:tablesaw-core,tech.tablesaw:tablesaw-html,tech.tablesaw:tablesaw-jsplot]"
