2022-02-25 11:04:36.853 [main] INFO  de.uni_koblenz.gorjatschev.applyingapis.Utils - --Server returned HTTP response code: 403 for URL: https://api.github.com/search/code?q=filename:pom.xml+extension:xml+repo:HorizenOfficial/zencash-swing-wallet-ui
2022-02-25 11:04:36.865 [main] INFO  de.uni_koblenz.gorjatschev.applyingapis.Utils - --Sleeping...
2022-02-25 11:05:36.871 [main] INFO  de.uni_koblenz.gorjatschev.applyingapis.Utils - --Resuming.
2022-02-25 11:06:17.544 [main] INFO  de.uni_koblenz.gorjatschev.applyingapis.Utils - --Server returned HTTP response code: 403 for URL: https://api.github.com/search/code?q=filename:pom.xml+extension:xml+repo:senbox-org/snap-desktop
2022-02-25 11:06:17.545 [main] INFO  de.uni_koblenz.gorjatschev.applyingapis.Utils - --Sleeping...
2022-02-25 11:07:17.559 [main] INFO  de.uni_koblenz.gorjatschev.applyingapis.Utils - --Resuming.
2022-02-25 11:07:42.391 [main] INFO  de.uni_koblenz.gorjatschev.applyingapis.Utils - --Server returned HTTP response code: 403 for URL: https://api.github.com/search/code?q=filename:pom.xml+extension:xml+repo:ethomson/jagged
2022-02-25 11:07:42.391 [main] INFO  de.uni_koblenz.gorjatschev.applyingapis.Utils - --Sleeping...
2022-02-25 11:08:42.406 [main] INFO  de.uni_koblenz.gorjatschev.applyingapis.Utils - --Resuming.
2022-02-25 11:08:48.443 [main] INFO  de.uni_koblenz.gorjatschev.applyingapis.Utils - --Server returned HTTP response code: 403 for URL: https://api.github.com/search/code?q=filename:pom.xml+extension:xml+repo:apache/mnemonic
2022-02-25 11:08:48.443 [main] INFO  de.uni_koblenz.gorjatschev.applyingapis.Utils - --Sleeping...
2022-02-25 11:09:48.450 [main] INFO  de.uni_koblenz.gorjatschev.applyingapis.Utils - --Resuming.
2022-02-25 11:10:01.201 [main] INFO  de.uni_koblenz.gorjatschev.applyingapis.Utils - --Server returned HTTP response code: 403 for URL: https://api.github.com/search/code?q=filename:pom.xml+extension:xml+repo:fennifith/Pasta-for-Spotify
2022-02-25 11:10:01.202 [main] INFO  de.uni_koblenz.gorjatschev.applyingapis.Utils - --Sleeping...
2022-02-25 11:11:01.204 [main] INFO  de.uni_koblenz.gorjatschev.applyingapis.Utils - --Resuming.
2022-02-25 11:11:01.440 [main] INFO  de.uni_koblenz.gorjatschev.applyingapis.Utils - --Server returned HTTP response code: 401 for URL: https://api.github.com/search/code?q=filename:pom.xml+extension:xml+repo:fennifith/Pasta-for-Spotify
2022-02-25 11:11:01.440 [main] INFO  de.uni_koblenz.gorjatschev.applyingapis.Utils - --Sleeping...
2022-02-25 11:12:01.444 [main] INFO  de.uni_koblenz.gorjatschev.applyingapis.Utils - --Resuming.
2022-02-25 11:12:01.594 [main] INFO  de.uni_koblenz.gorjatschev.applyingapis.Utils - --Server returned HTTP response code: 401 for URL: https://api.github.com/search/code?q=filename:pom.xml+extension:xml+repo:fennifith/Pasta-for-Spotify
2022-02-25 11:12:01.595 [main] INFO  de.uni_koblenz.gorjatschev.applyingapis.Utils - --Sleeping...
2022-02-25 11:13:01.597 [main] INFO  de.uni_koblenz.gorjatschev.applyingapis.Utils - --Resuming.
2022-02-25 11:13:01.789 [main] INFO  de.uni_koblenz.gorjatschev.applyingapis.Utils - --Server returned HTTP response code: 401 for URL: https://api.github.com/search/code?q=filename:pom.xml+extension:xml+repo:fennifith/Pasta-for-Spotify
2022-02-25 11:13:01.789 [main] INFO  de.uni_koblenz.gorjatschev.applyingapis.Utils - --Sleeping...
2022-02-25 11:14:01.791 [main] INFO  de.uni_koblenz.gorjatschev.applyingapis.Utils - --Resuming.
2022-02-25 11:14:02.165 [main] INFO  de.uni_koblenz.gorjatschev.applyingapis.Utils - --Server returned HTTP response code: 401 for URL: https://api.github.com/search/code?q=filename:pom.xml+extension:xml+repo:fennifith/Pasta-for-Spotify
2022-02-25 11:14:02.166 [main] INFO  de.uni_koblenz.gorjatschev.applyingapis.Utils - --Sleeping...
2022-02-25 11:15:02.169 [main] INFO  de.uni_koblenz.gorjatschev.applyingapis.Utils - --Resuming.
2022-02-25 11:15:02.344 [main] INFO  de.uni_koblenz.gorjatschev.applyingapis.Utils - --Server returned HTTP response code: 401 for URL: https://api.github.com/search/code?q=filename:pom.xml+extension:xml+repo:fennifith/Pasta-for-Spotify
